Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,flakiness category
BeautifulSauce,https://github.com/nateraw/BeautifulSauce,f587e638abea1716427713d8a814e30331efb18b,tests/test_sauce.py,tests.test_sauce.TestSauce,test_from_url,,network
CHESS,https://github.com/nishaq503/CHESS,6f84e7e98d328150170141621cc095dfa80ef67e,tests/test_graph.py,tests.test_graph.TestGraph,test_contains,,random
CmdKit,https://github.com/glentner/CmdKit,b8d4572612667080807b2b26d47c624a330c2872,tests/test_app.py,tests.test_app,test_app_invalid_options,,random
DESlib,https://github.com/Menelau/DESlib,77d0ccb491c522e7505d9ac6081b72cac001cb9e,deslib/tests/des/test_probabilistic.py,deslib.tests.des.test_probabilistic,test_check_estimator_DESKL,,random
GDAX-Python,https://github.com/danpaquin/GDAX-Python,19cac25c51e592994cfa86ec487eef6a5c76718f,tests/test_public_client.py,tests.test_public_client.TestPublicClient,test_get_historic_rates,[start0-end0-21600],network
GoogleFreeTrans,https://github.com/ziliwang/GoogleFreeTrans,b1f067107b95005778ea8c019a7a903e77e25859,tests/test_all.py,tests.test_all,test_translation,,network
Intervallum,https://github.com/wol4aravio/Intervallum,e314ee624f09b09913475b02470103095fc076ff,tests/test_interval_functions.py,tests.test_interval_functions,test_base,,random
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,JavPy/tests/test_clients/test_webserver.py,JavPy.tests.test_clients.test_webserver,test_search_by_actress,[Eimi Fukada],network
Neuraxle,https://github.com/Neuraxio/Neuraxle,20c6e5713198345b43bf6899355f1b5cf65eb02c,testing/metaopt/test_automl_sequential_wrapper.py,testing.metaopt.test_automl_sequential_wrapper,test_automl_sequential_wrapper,,random
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,tests/test_offline.py,tests.test_offline.TestXenaOffline,test_build_config,[socket],network
RanCat,https://github.com/mattjegan/rancat,b59f5abf7e187816034be9169ecd53af87ce017d,tests/test_rancat.py,tests.test_rancat.TestRanCat,test_load_url,,network
SSLyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,tests/plugins_tests/test_session_resumption_plugin.py,tests.plugins_tests.test_session_resumption_plugin.TestSessionResumptionSupport,test,,network
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02,tests/test_verifone.py,tests.test_verifone.TestVerifone,test_023_get_endpoint,,network
WattTime,https://github.com/stoltzmaniac/WattTime,1f2761a752c6cc241c20e854a7a247349b57be36,tests/test_get_data.py,tests.test_get_data,test_get_detailed_grid_data,,network
acl-anthology,https://github.com/icoxfog417/acl-anthology,88b4d006a38301be6690bdf43073cf98be7bdd50,tests/test_conferene.py,tests.test_conferene.TestConference,test_retrieve_from_element,,network
amplimap,https://github.com/koelling/amplimap,47a65e624e4a7f7ed62b029e6ed65dc78cf34ac7,tests/run_test.py,tests.run_test,test_config_umi_error,,IO
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9,nonlinshrink/test/test_analytic_shrinkage.py,nonlinshrink.test.test_analytic_shrinkage,test_demean,,random
arlib,https://github.com/gongliyu/arlib,6918f0146dab459369ec2861fe68d796acff8ea6,tests/test_archive.py,tests.test_archive,test_arlib_read,[/local/hdd/gruberma/arlib/0qATP/deterministic/tmp/tmpy0cq65zt/tests/data/dir],unordered collection
ashpool,https://github.com/cktc/ashpool,3a35638ecff85da94952cebf7f8684ed564693bc,ashpool/tests/test_ashpool.py,ashpool.tests.test_ashpool,test_differ,,random
beem,https://github.com/holgern/beem,f3c3bd84daccac1ee4ed45c1ada0f88f29ca3f2f,tests/beemstorage/test_masterpassword.py,tests.beemstorage.test_masterpassword.Testcases,test_masterpwd,,random
blindpie,https://github.com/alessiovierti/blindpie,300ea0b29e17a6c430da5e4f420ecc7cf0d445be,tests/test_target.py,tests.test_target.TargetTest,test_get_response_times_max_interval,,concurrency
capsicum,https://github.com/m-mizutani/capsicum,a2d10f65691cf3b685557927da1929a405b63272,tests/blacklist/test_snort.py,tests.blacklist.test_snort,test_bleeding_edge,,network
cenpy,https://github.com/ljwolf/cenpy,03eefcfd885c48e018cf74abaf46ee03aa7ac119,cenpy/tests/test_parser.py,cenpy.tests.test_parser.Geoparser_Test,test_pysal_holed_polygon,,network
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,tests/test_ellipsoid.py,tests.test_ellipsoid,test_run_d80_ellipsoid,,random
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64,tests/test_cuckoofilter.py,tests.test_cuckoofilter,test_insert_filter_full,,random
cronjob,https://github.com/havefun-plus/cronjob,a2fd9289f44696c5c06ece9cec8dc5315300eecf,tests/test_utils.py,tests.test_utils,test_cronrule,,time
cvbase,https://github.com/hellock/cvbase,e48d2f76aaeea6472b2175c37780f7b90ae7f1b6,tests/test_progress.py,tests.test_progress,test_track_parallel_progress_list,,concurrency
data-genie.git,https://github.com/mkeshav/data-genie.git,cde77b7bdb445557f78d834d72d51bb62ad9e668,tests/test_dqc.py,tests.test_dqc,test_has_columns,,random
data-partitioner,https://github.com/brahle/data_partitioner,c37bca05576648c3f69f8694951bb2ae9ea9ed21,tests/data_suplier_test.py,tests.data_suplier_test.DataSuplierTest,test_training_percent,,random
dcard-spider,https://github.com/leVirve/dcard-spider,ac64cbcfe7ef6be7e554cef422b1a8a6bb968d46,tests/test_api.py,tests.test_api,test_valid_api_forum,,network
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,devtracker/test_devtracker.py,devtracker.test_devtracker,test_end_time_total,,time
dicom-standard,https://github.com/innolitics/dicom-standard,4d40ca75e3af51dd8fc2b027a7f79b6a2f4193cb,tests/references_test.py,tests.references_test,test_valid_references,,network
dict,https://github.com/wufeifei/dict,89e730dbc035da6b5ceb598833d2eafc5343864d,tests/test_dict.py,tests.test_dict,test_e2c_sentences,,network
discovery-client,https://github.com/tomwei7/discovery-client,b10094532ae22eaebd9d093f9550fa75886a3a88,tests/test_crontab.py,tests.test_crontab.TestCrontab,test_crontab,,async wait
domain-validation,https://github.com/ElliotVilhelm/python-domain-validation,941a6ae29c565f49e98f106b427624874b47f973,domain_validation/test/test_whois_obj.py,domain_validation.test.test_whois_obj,test_WHOIS_utf_encoding,,network
ebook_homebrew,https://github.com/tubone24/ebook_homebrew,7df72331e9636ad2821543144c8aef02d40b7e23,tests/ut/test_rest.py,tests.ut.test_rest,test_convert_image_to_pdf,,IO
filtered-intervaltree,https://github.com/lostinplace/filtered-intervaltree,37da431ed36dc9e7936ebd330869f142538ef79d,test/test_interval.py,test.test_interval,test_compare_addition,,random
fontMath,https://github.com/robotools/fontMath,7f84204033c2d0a284d02e626320ee27c3dfa5ee,Lib/fontMath/test/test_mathTransform.py,Lib.fontMath.test.test_mathTransform.MathTransformTest,test_wrapUnWrapPrecision,,random
forkliftpy,https://github.com/castelao/supportdata,d0b878e2779120f3cdd2d5a241addc18e26f8616,tests/test_supportdata.py,tests.test_supportdata,test_download_WOA,,network
fuzzylogic,https://github.com/amogorkon/fuzzylogic,58bd23aeb4b6bf39bd950bcf468b0c2f5c649e69,test/test_units.py,test.test_units.Test_Set,test_eq,,random
gamble.git,https://github.com/jpetrucciani/gamble.git,d17b25899183a4c4b25fe644024ff754132ae513,tests/models/test_cards.py,tests.models.test_cards,test_deck_init,,random
geocoder,https://github.com/DenisCarriere/geocoder,39b9999ec70e61da9fa52fe9fe82a261ad70fa8b,tests/test_komoot.py,tests.test_komoot,test_komoot_multi_result,,network
gwosc,https://github.com/gwpy/gwosc,06b56ce506fda3af4857c8a1aae7bb60fb1925e9,gwosc/tests/test_api.py,gwosc.tests.test_api,test_fetch_event_json_version,,network
helpers,https://github.com/infosmith/helpers,72c40cf1d1a46875f2956e8827a55d4232db48cb,tests/suite/elma/exceptions/raises/test_raise_if_not_type.py,tests.suite.elma.exceptions.raises.test_raise_if_not_type.TestRaiseIfNotType,test_raise_if_not_type,,random
hotwing-core,https://github.com/jasonhamilton/hotwing-core,f4d864b1618e928bd981540b2a446bdb74023ca6,tests/test_profile.py,tests.test_profile.TestProfile,test_load_dat_file,,random
humansort,https://github.com/coreygirard/humansort,270c4ec6f239173e51f05e2d7f514697fdbbb445,tests/test_sort.py,tests.test_sort,test_sort_property,,Test Case Timeout
jgutils,https://github.com/jerodg/jgutils,6c8ed6aca37d509af8ce1b57635fad62f1c846b4,jgutils/tests/test_naturalsort.py,jgutils.tests.test_naturalsort.TestNaturalSort,test_numeric_intermixed,,random
langsplit,https://github.com/mindey/langsplit,d30d47bd6f73852dc716f1e79225d8d49dc39daa,tests/test_split.py,tests.test_split,test_partial_autodetect,,random
lineflow,https://github.com/yasufumy/lineflow,677ed8ba2374f084d58864c2027a7d0245e8f198,tests/datasets/test_text_classification.py,tests.datasets.test_text_classification.AgNewsTestCase,test_loads_each_split,,network
msp2db,https://github.com/computational-metabolomics/msp2db,fc7108625704c1074a3c085fe67d7ce72367a124,tests/test_msp2db.py,tests.test_msp2db.TestSqlite,test_mona_files,,network
music-dl,https://github.com/0xHJK/music-dl,883b643d62c63496572f5b883f76359324a5c853,tests/test_addon_baidu.py,tests.test_addon_baidu,test_baidu,,network
mxnet-octave-conv,https://github.com/CyberZHG/mxnet-octave-conv,5bbe5aa0cc6f43f242cb4a656495df70e3198f1b,tests/test_octave.py,tests.test_octave.TestMXNetOctave,test_fit_residual,,random
nba_scraper,https://github.com/mcbarlowe/nba_scraper,42a2a1f8f73f6d8ed97636582899d5efda8d0665,test_functional.py,test_functional,test_scrape_date_range,,network
ndradex,https://github.com/astropenguin/ndradex,0d1a1ed52296f7d4d38254ad081aabff8e923182,tests/test_radex.py,tests.test_radex,test_radex_single_run,,network
noipy,https://github.com/povieira/noipy,c35add5386b57547c5a72650145a267dc88fa77e,test/test_noipy.py,test.test_noipy.PluginsTest,test_noip_plugin,,network
noisyopt,https://github.com/andim/noisyopt,625b874918ac5926c3bf05d869e914cbddfffe20,noisyopt/tests/test_noisyopt.py,noisyopt.tests.test_noisyopt,test_AveragedFunction,,random
ontobio,https://github.com/biolink/ontobio,ade3d89729bce16e39073ede2c0f253f309dc299,tests/test_wd.py,tests.test_wd,test_wd_sparql_ptsd,,network
orderly-web-deploy,https://github.com/vimc/orderly-web-deploy,550e1f21df54cb71ffab2411f45e7bd49095279a,test/test_vault.py,test.test_vault,test_secret_reading,,network
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0,tests/field_string_test.py,tests.field_string_test,test_variable_string,,random
pipm,https://github.com/jnoortheen/pipm,a9e0f89e80addea18fd3efdc7b4f6eabd6b6988a,tests/test_file_functions.py,tests.test_file_functions,test_append_last_line,,IO
piripherals,https://github.com/quantenschaum/piripherals,74e4807a64363e3c95a03222fa250a1073387eaf,tests/test_mpr121.py,tests.test_mpr121,test_mpr121_irq,,async wait
