repo_name,n_files,n_py_files,n_test_files,loc,n_deps,fetch_ok
CHESS,29,14,5,1779,58,1
Intervallum,17,11,3,924,7,1
PySyncObj,47,34,1,7581,0,1
Verifone,39,7,1,1948,14,1
WikidataIntegrator,48,29,9,6799,17,1
abagen,94,42,13,9929,12,1
access-modifiers,18,8,3,550,9,1
analytic_shrinkage,12,7,2,324,2,1
astwro,145,88,14,8619,10,1
asv,208,109,50,26734,18,1
beem,294,180,55,45352,36,1
bitcash,72,36,10,4671,0,1
cenpy,237,16,6,3378,8,1
chazutsu,56,42,18,3560,4,1
client_python,61,41,13,7366,0,1
compyle,78,61,16,15658,5,1
coo,27,9,2,935,2,1
crfmnes,15,10,5,467,2,1
cuckoopy,17,9,2,448,4,1
cvbase,75,30,9,4596,5,1
darkchess,40,33,8,1957,4,1
data-genie,43,17,7,1700,12,1
data_partitioner,12,7,2,327,0,1
dcard-spider,35,18,6,1305,3,1
discovery-client,15,8,2,488,2,1
dns-over-https,10,3,1,194,5,1
dockerfile_bakery,41,11,2,853,2,1
fistro,17,10,1,509,0,1
fontMath,27,15,7,4645,4,1
fooof,164,120,34,16993,11,1
fossor,72,60,23,3592,12,1
ftpsync,12,3,1,474,1,1
gamble,22,12,2,1345,4,1
grimoire,59,23,8,3556,0,1
gwosc,49,21,7,5174,4,1
homog,38,11,2,2496,14,1
jinja2-github,10,2,1,95,5,1
kb_python,124,25,8,8140,13,1
keplertools,25,9,2,1110,3,1
kevinarpe-rambutan3,450,418,110,11567,1,1
kindle_maker,32,7,2,541,1,1
langsplit,10,5,1,429,0,1
layouts-python,14,8,3,941,3,1
nacos-sdk-python,12,9,2,1197,0,1
nnweaver,40,27,9,2673,7,1
noisyopt,30,14,1,2581,2,1
orderly-web-deploy,53,20,6,2641,7,1
override,25,18,2,380,1,1
packeteer,26,19,11,1898,1,1
piripherals,38,19,7,4090,4,1
py_ev,14,7,1,891,0,1
pyais,39,24,6,2636,5,1
pyblnet,29,13,1,1893,2,1
pybnn,37,29,6,3522,5,1
pylabeledrf,95,6,2,1039,1,1
pymannkendall,24,7,1,3551,3,1
pymemorydb,16,11,4,1399,0,1
pypfm,10,4,1,175,3,1
pyss3,150,11,4,8819,13,1
python-cuckoo,13,8,2,465,1,1
python-matlab-functions,17,8,2,199,7,1
python-timemarker,17,7,1,512,0,1
pytsmp,49,9,2,2225,7,1
pyvesync,32,24,10,4717,1,1
r_map,35,33,13,2235,0,1
reframe,433,206,29,36681,33,1
relic,15,6,1,548,0,1
ruTS,34,23,8,3190,5,1
selenium-wire,55,33,9,7433,12,1
setigen,112,23,3,2346,6,1
sister,20,11,4,627,15,1
spreading_dye_sampler,15,5,1,550,4,1
supportdata,15,5,1,249,2,1
sureal,52,35,12,23676,6,1
torch-embed-sim,18,5,1,95,8,1
torch-layer-normalization,18,5,1,190,8,1
torchgan,101,49,5,6681,7,1
truffleHog,35,13,2,1280,6,1
twsecli,14,7,2,314,2,1
uhashring,21,13,4,1069,7,1
vault-dev,14,9,3,400,3,1
verif,98,41,16,11372,7,1
wiki-futures,9,5,1,138,2,1
words-to-regular-expression,32,21,7,1041,8,1
zenmake,568,350,27,67113,11,1
