Project_Name,Project_URL,Project_Hash
geomag_wdc_web_app_interface,https://github.com/willjbrown88/geomag_wdc_web_app_interface,07a27cadc6db239e39b871a6f55f57a917ed02e4
streamstats,https://github.com/earthlab/streamstats,812bf263a25c87fd26eca09f81d78ff35b48d1c4
ontobio,https://github.com/biolink/ontobio,ade3d89729bce16e39073ede2c0f253f309dc299
CHESS,https://github.com/nishaq503/CHESS,6f84e7e98d328150170141621cc095dfa80ef67e
WikidataIntegrator,https://github.com/sulab/WikidataIntegrator,2ce3477b47447e335dd5e7413396fecf306c7146
aiomediawiki,https://github.com/jucacrispim/aiomediawiki,9e3f624a2465bf5b1394c178b19e34fadfec2793
astwro,https://github.com/majkelx/astwro,0486bc622759ea214a376a9e4035d6d3e350f61b
cenpy,https://github.com/ljwolf/cenpy,03eefcfd885c48e018cf74abaf46ee03aa7ac119
chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261
dcard-spider,https://github.com/leVirve/dcard-spider,ac64cbcfe7ef6be7e554cef422b1a8a6bb968d46
python-domain-validation,https://github.com/ElliotVilhelm/python-domain-validation,941a6ae29c565f49e98f106b427624874b47f973
supportdata,https://github.com/castelao/supportdata,d0b878e2779120f3cdd2d5a241addc18e26f8616
gramhopper,https://github.com/OrBin/gramhopper,9396533d10bb469c77985ad931033f400479809b
hpdr,https://github.com/laboo/hpdr,6760ceb1f4a6078f70e86e54bb2ee4e269915f9c
knit,https://github.com/dask/knit,934aee7012967453b7343f6e01f16b26aece2aaf
lazygrid,https://github.com/glubbdubdrib/lazygrid,ce290e9b2ce528088c5b65bdaf1a83e1a08aecdb
orderly-web-deploy,https://github.com/vimc/orderly-web-deploy,550e1f21df54cb71ffab2411f45e7bd49095279a
override,https://github.com/davidhyman/override,e34bd3c8676233439de5c002367b3bff5c1b88d6
pelicun,https://github.com/NHERI-SimCenter/pelicun,29a3d61b9d38debfc115ce03a674a33642773ec5
persiantools,https://github.com/mhajiloo/persiantools,ebe2f89bbffca4736d6dc0945110d6c2448b4eb6
pyais,https://github.com/M0r13n/pyais,d2ca5ff08c532fce5da1c9d268eb453924f12a33
bitcash,https://github.com/sporestack/bitcash,80a61111bd50cf37f6a601eecd0424f04b971514
noipy,https://github.com/povieira/noipy,c35add5386b57547c5a72650145a267dc88fa77e
pycep-correios,https://github.com/mstuttgart/pycep-correios,44fd6a1ede24d6215afa573a9faa2f0db58bad25
pyss3,https://github.com/sergioburdisso/pyss3,0522e0dc3d07e2c842df8e975e68244beda4b4c5
wellpathpy,https://github.com/Zabamund/wellpathpy,f29b14a9a1c46e77ea98b141e3cdc43674654ea2
scikit-build,https://github.com/scikit-build/scikit-build,1a25f132ef746e90d41ed165892fd68a44a81403
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84
dikicli,https://github.com/silenc3r/dikicli,2304a0ab3cd07b442207a347f2924699741a52bd
WattTime,https://github.com/stoltzmaniac/WattTime,1f2761a752c6cc241c20e854a7a247349b57be36
jinja2-github,https://github.com/jcfr/jinja2-github,4012e5f87ea4b53d2eee406f91cf6738008636a0
mxnet-octave-conv,https://github.com/CyberZHG/mxnet-octave-conv,5bbe5aa0cc6f43f242cb4a656495df70e3198f1b
pytsmp,https://github.com/kithomak/pytsmp,15d58a39e016100fb44cdcc9f6115fa7736eb2bb
skprocrustes,https://github.com/melissawm/skprocrustes,05b6fd4fcc6cb0d7b8d1115dc562a0f8f7e227b2
torch-embed-sim,https://github.com/CyberZHG/torch-embed-sim,ace404f9cca0d47aa3efcf4e819bcd48899e4e35
torch-gpt-2,https://github.com/CyberZHG/torch-gpt-2,92dd7ab7f83630500805ebf0c647f3fb940ca3ab
torch-layer-normalization,https://github.com/CyberZHG/torch-layer-normalization,89f405b60f53f85da6f03fe685c190ef394ce50c
dict,https://github.com/wufeifei/dict,89e730dbc035da6b5ceb598833d2eafc5343864d
relic,https://github.com/spacetelescope/relic,d5fc7bf6dbe01eb89de3ff5c2f6cfec2b4a6047d
spyProt,https://github.com/Zedelghem/spyProt,e2d978ce68ab9449acfc39dcc05b54d0c41460f6
client_python,https://github.com/prometheus/client_python,5b0a476489fc6a26c177683b539142c91005de06
requests-cache,https://github.com/reclosedev/requests-cache,6717a336430eb7e6fe17e75c5517f3076ca85b42
mw-category-members,https://github.com/jfilter/mw-category-members,9d3b11b5cfde2165a9ff1613ff11d7595a33320e
proxipy,https://github.com/sttlr/proxipy,f9b08d8f3fc7dd0089b6c2fbe83d2671dc51472d
py-finstmt,https://github.com/whoopnip/py-finstmt,820407a87f03377072b545923febd1086def1bec
pykew,https://github.com/RBGKew/pykew,557c1852ad7a4366467e344e7a46b42549ce8694
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f
sister,https://github.com/sobamchan/sister,5850d8fbd1789df1c68634284fa51490a395b7b2
